year,country_code,population,gdp_per_capita_2011ppp,gdp_per_capita_current_ppp,gdp_per_capita_current_usd
2006,ABW,100834.00000000000,39612.9767483490000,36362.2193169021000,24045.27248335470000
2007,ABW,101222.00000000000,40171.5234529023000,37865.4934863172000,25835.13266762840000
2008,ABW,101358.00000000000,40081.2323667298000,38515.2637965284000,27084.70369036530000
2009,ABW,101455.00000000000,35830.4979582943000,34693.0867452693000,24630.45371410230000
2010,ABW,101669.00000000000,34437.4941743467000,33732.8474499790000,23512.60259563970000
2011,ABW,102046.00000000000,35492.6184873268000,35492.6184873268000,24985.99328137370000
2012,ABW,102560.00000000000,34830.9765514284000,35498.9820892515000,24713.69804512850000
2013,ABW,103159.00000000000,36082.5224859839000,37419.8928171808000,25025.09956290830000
2014,ABW,103774.00000000000,36172.9333549571000,38223.3722610247000,25533.56978039840000
2015,ABW,104341.00000000000,35814.2614376623000,38249.0548684635000,25796.38025063820000
2016,ABW,104872.00000000000,35557.6568622291000,38390.2716490175000,25239.60041099320000
2017,ABW,105366.00000000000,35861.8281181686000,39454.6298306781000,25630.26649220690000
2018,ABW,105845.00000000000,,,
2006,AFG,26433049.00000000000,1123.8713225030900,1031.6431348355400,263.73373467891100
2007,AFG,27100536.00000000000,1247.7531177113100,1176.1263574338400,359.69348003052500
2008,AFG,27722276.00000000000,1267.6449387882300,1218.1182148054300,364.66046538857100
2009,AFG,28394813.00000000000,1502.3540731793200,1454.6630148312900,438.07603440694100
2010,AFG,29185507.00000000000,1671.5812376910900,1637.3779870802800,543.30304186393100
2011,AFG,30117413.00000000000,1626.7647932558300,1626.7647932558300,591.16234645088000
2012,AFG,31161376.00000000000,1772.7649742986000,1806.7639297497000,641.87203378541100
2013,AFG,32269589.00000000000,1807.7623442853600,1874.7656344805300,637.16504385598000
2014,AFG,33370794.00000000000,1795.7358343787800,1897.5259375948800,613.85633288231200
2015,AFG,34413603.00000000000,1766.5930768642600,1886.6929768980500,578.46635294170800
2016,AFG,35383128.00000000000,1757.0234901613000,1896.9925195675200,547.22811015036300
2017,AFG,36296400.00000000000,1758.4656362221200,1934.6367541135400,556.30213850850800
2018,AFG,37172386.00000000000,1734.7232141583900,1955.0062077555700,520.89660271913500
2006,AGO,20149901.00000000000,5500.2425358799400,5048.8764491589400,2599.56646397608000
2007,AGO,20905363.00000000000,6044.2171555104300,5697.2513278017700,3121.99563726236000
2008,AGO,21695634.00000000000,6474.3764234276500,6221.4233730329900,4080.94140992346000
2009,AGO,22514281.00000000000,6292.5348563220400,6092.7832449360100,3122.78076649385000
2010,AGO,23356246.00000000000,6360.4419378280700,6230.2970279129700,3587.88379824396000
2011,AGO,24220661.00000000000,6346.3951224502300,6346.3951224502300,4615.46802807906000
2012,AGO,25107931.00000000000,6645.0856246534500,6772.5283333016500,5100.09580809767000
2013,AGO,26015780.00000000000,6730.9458220113200,6980.4230376562900,5254.88233799616000
2014,AGO,26941779.00000000000,6813.0521058933500,7199.2454778797200,5408.41049555432000
2015,AGO,27884381.00000000000,6644.8572550581300,7096.6006149312900,4166.97968386501000
2016,AGO,28842484.00000000000,6258.3766275594200,6756.9350743435200,3506.07288506966000
2017,AGO,29816748.00000000000,6044.9720354952400,6650.5849398244100,4095.81294155857000
2018,AGO,30809762.00000000000,5725.3272377451600,6452.3551652903100,3432.38573600893000
2006,ALB,2992547.00000000000,7914.0358530371600,6559.7832567799500,2972.74326462176000
2007,ALB,2970017.00000000000,8450.9182357092700,7276.3029686908200,3595.03716321514000
2008,ALB,2947314.00000000000,9154.7137486593800,8228.3742389057400,4370.54008654749000
2009,ALB,2927519.00000000000,9525.3779794643500,8814.8108560500800,4114.14015001395000
2010,ALB,2913021.00000000000,9927.6382040724900,9628.0257834083600,4094.36211924475000
2011,ALB,2905195.00000000000,10207.7523472149000,10207.7523472149000,4437.17806741261000
2012,ALB,2900401.00000000000,10369.5610324771000,10526.2354457688000,4247.61427862374000
2013,ALB,2895092.00000000000,10492.6690281171000,10571.0106501214000,4413.08174279640000
2014,ALB,2889104.00000000000,10700.9932164462000,11259.2258938162000,4578.66672031333000
2015,ALB,2880703.00000000000,10970.3214009733000,11662.0304810353000,3952.82945832578000
2016,ALB,2876101.00000000000,11352.1014215285000,11868.1789681017000,4124.10890718622000
2017,ALB,2873457.00000000000,11796.7191847363000,12930.1400345966000,4532.89016212124000
2018,ALB,2866376.00000000000,12316.0715010455000,13364.1553966514000,5268.84850355919000
2006,AND,80993.00000000000,,,43747.69184894330000
2007,AND,82684.00000000000,,,48582.22088302360000
2008,AND,83862.00000000000,,,47785.08927266400000
2009,AND,84463.00000000000,,,43338.86675790640000
2010,AND,84449.00000000000,,,39736.35406266990000
2011,AND,83747.00000000000,,,41100.72993822140000
2012,AND,82427.00000000000,,,38392.94390122050000
2013,AND,80774.00000000000,,,40626.75163202280000
2014,AND,79213.00000000000,,,42300.33412766690000
2015,AND,78011.00000000000,,,36039.65349622890000
2016,AND,77297.00000000000,,,37224.10891629240000
2017,AND,77001.00000000000,,,39134.39337067170000
2018,AND,77006.00000000000,,,42029.76273729890000
2006,ARE,5300174.00000000000,87120.0651423881000,79970.7362497655000,41907.40565596800000
2007,ARE,6168838.00000000000,77235.8544138785000,72802.1616020533000,41809.51638284200000
2008,ARE,7089487.00000000000,69351.0196603659000,66641.4842821642000,44498.93423016330000
2009,ARE,7917372.00000000000,58843.4694238097000,56975.5293797207000,32024.18160311870000
2010,ARE,8549988.00000000000,55362.9898190898000,54230.1736731261000,33893.30351403900000
2011,ARE,8946777.00000000000,56574.2881750551000,56574.2881750551000,39194.67662084560000
2012,ARE,9141596.00000000000,57851.6938744732000,58961.2020108164000,40976.49971124550000
2013,ARE,9197910.00000000000,60403.0455846444000,62641.8369859443000,42412.63027803640000
2014,ARE,9214175.00000000000,62879.7030208439000,66443.9975780681000,43751.83888607210000
2015,ARE,9262900.00000000000,65742.6507380267000,70212.0930136688000,38663.38380663630000
2016,ARE,9360980.00000000000,67045.1042913884000,72386.0904686661000,38141.84675854920000
2017,ARE,9487203.00000000000,66477.8187192938000,73137.8701854810000,39811.63470176300000
2018,ARE,9630959.00000000000,66616.0502831650000,75075.2574109804000,43004.95335848480000
2006,ARG,39289878.00000000000,16705.8696830038000,15334.9368605146000,5919.01203707753000
2007,ARG,39684295.00000000000,18029.6825798292000,16994.6959837683000,7245.44831728945000
2008,ARG,40080160.00000000000,18575.8877229221000,17850.1301895326000,9020.87309807194000
2009,ARG,40482788.00000000000,17302.6541492773000,16753.3948878684000,8225.13717626412000
2010,ARG,40788453.00000000000,18911.8231883276000,18524.8567559266000,10385.96443195550000
2011,ARG,41261490.00000000000,19817.4504765479000,19817.4504765479000,12848.86419697050000
2012,ARG,41733271.00000000000,19392.3097931241000,19764.2250138718000,13082.66432557200000
2013,ARG,42202935.00000000000,19637.7553833376000,20365.6133492316000,13080.25473233670000
2014,ARG,42669500.00000000000,18935.0024966208000,20008.3206437718000,12334.79824538930000
2015,ARG,43131966.00000000000,19243.5794686236000,20551.8331919861000,13789.06042477200000
2016,ARG,43590368.00000000000,18645.0918508457000,20130.4080257097000,12790.24247324470000
2017,ARG,44044811.00000000000,18945.1440219822000,20843.1550676442000,14591.86338105410000
2018,ARG,44494502.00000000000,18288.2445989345000,20610.5685495282000,11683.94962163630000
2006,ARM,2958307.00000000000,6110.6248227362400,5609.1689695322500,2158.14369710179000
2007,ARM,2932618.00000000000,7011.6741254055200,6609.1718237920300,3139.27749894333000
2008,ARM,2907618.00000000000,7559.9265486354100,7264.5611950984900,4010.85724255226000
2009,ARM,2888092.00000000000,6534.0771517472300,6326.6579685748600,2994.34254448509000
2010,ARM,2877319.00000000000,6702.8293698970400,6565.6786603947100,3218.37270660563000
2011,ARM,2876538.00000000000,7019.7677484600400,7019.7677484600400,3525.80474671153000
2012,ARM,2884229.00000000000,7505.1245741205300,7649.0615312185100,3681.85745604310000
2013,ARM,2897584.00000000000,7717.0609644054200,8003.0877626105700,3838.18580148382000
2014,ARM,2912403.00000000000,7954.1953305250300,8405.0736547164200,3986.23162376713000
2015,ARM,2925553.00000000000,8171.8323537294500,8727.3854472115100,3607.29669672271000
2016,ARM,2936146.00000000000,8158.6347937822400,8808.5727142255500,3591.82927553023000
2017,ARM,2944809.00000000000,8744.7313677252400,9620.8184910551700,3914.50126841280000
2018,ARM,2951776.00000000000,9177.7441591610600,10343.1755901515000,4212.07094272937000
2006,ASM,59107.00000000000,,,8391.56106721708000
