year,country_code,metric_code,mean,sd,lobound_10,upbound_90
2017,AGO,arrest,4.301311493,0.624063671,3.502510071,5.100112915
2018,AGO,arrest,3.085556984,0.213555828,2.812205553,3.358908415
2017,AGO,assem,4.706525803,0.016633712,4.685234547,4.727817059
2018,AGO,assem,3.004011393,0.158523127,2.801101685,3.206921101
2017,AGO,disap,8.291035652,0.58185339,7.546263218,9.03580761
2018,AGO,disap,8.119400024,0.8028813,7.091711998,9.147088051
2017,AGO,dpex,9.164679527,0.242692739,8.854032516,9.475326538
2018,AGO,dpex,9.164692879,0.242683545,8.854058266,9.475327492
2017,AGO,empower,5.42455864,0.813987672,4.38265419,6.466463089
2018,AGO,empower,2.83431983,0.828426719,1.773933649,3.894706011
2017,AGO,execution,5.318800449,0.096335568,5.195490837,5.442110062
2018,AGO,execution,3.740919828,0.349724412,3.293272495,4.188567162
2017,AGO,exkill,5.318800449,0.096335568,5.195490837,5.442110062
2018,AGO,exkill,3.740919828,0.349724412,3.293272495,4.188567162
2017,AGO,express,5.867247105,0.6839118,4.991839886,6.742654324
2018,AGO,express,3.382374763,0.279376626,3.024772644,3.739976883
2017,AGO,physint,6.03524828,0.896203816,4.8881073,7.182389259
2018,AGO,physint,5.210410595,0.923634708,4.028158188,6.392663002
2017,AGO,polpart,5.916324139,0.122143529,5.759980202,6.072668076
2018,AGO,polpart,3.277483225,0.12696889,3.114963055,3.440003395
2017,AGO,tort,3.266510963,0.729118526,2.333239317,4.199782848
2018,AGO,tort,2.347155571,0.545721233,1.648632407,3.045678854
2017,AUS,arrest,6.593069077,0.329614639,6.171162128,7.014976025
2018,AUS,arrest,6.593069077,0.329614639,6.171162128,7.014976025
2017,AUS,assem,7.553826332,0.097632967,7.428855896,7.678796768
2018,AUS,assem,7.553826332,0.097632967,7.428855896,7.678796768
2017,AUS,disap,8.601046562,0.274498791,8.249688148,8.952404976
2018,AUS,disap,8.601046562,0.274498791,8.249688148,8.952404976
2017,AUS,dpex,8.696051598,0.325329423,8.279629707,9.112473488
2018,AUS,dpex,8.696044922,0.325330555,8.279622078,9.112467766
2017,AUS,empower,7.594750404,0.909066796,6.431144714,8.758356094
2018,AUS,empower,7.480457306,0.879529953,6.354659081,8.606255531
2017,AUS,execution,8.146055222,0.430862278,7.594551563,8.697559357
2018,AUS,execution,8.146055222,0.430862278,7.594551563,8.697559357
2017,AUS,exkill,8.146055222,0.430862278,7.594551563,8.697559357
2018,AUS,exkill,8.146055222,0.430862278,7.594551563,8.697559357
2017,AUS,express,6.954610825,0.289676815,6.583824635,7.325397015
2018,AUS,express,6.958247662,0.289407521,6.587806225,7.328689098
2017,AUS,physint,7.286812305,0.825720251,6.229890347,8.343733788
2018,AUS,physint,7.307980537,0.835072875,6.239087105,8.37687397
2017,AUS,polpart,7.972528458,0.735652089,7.030893803,8.914163589
2018,AUS,polpart,7.972528458,0.735652089,7.030893803,8.914163589
2017,AUS,tort,6.34286499,0.26407975,6.004842758,6.680887222
2018,AUS,tort,6.358547211,0.267983705,6.015528202,6.701566219
2017,BRA,arrest,4.506043434,0.06166086,4.427117348,4.584969521
2018,BRA,arrest,4.523593426,0.042848643,4.468747139,4.578439713
2017,BRA,assem,6.983593464,0.138582528,6.806207657,7.160979271
2018,BRA,assem,6.983593464,0.138582528,6.806207657,7.160979271
2017,BRA,disap,5.656192303,0.593776047,4.896159172,6.416225433
2018,BRA,disap,5.656192303,0.593776047,4.896159172,6.416225433
2017,BRA,dpex,8.829474449,0.037259709,8.78178215,8.877166748
2018,BRA,dpex,8.829476357,0.037255287,8.78178978,8.877162933
2017,BRA,empower,5.519118309,0.840942323,4.442712307,6.595524311
2018,BRA,empower,5.561745167,0.829942286,4.499419212,6.624071121
2017,BRA,execution,2.215892792,0.257458627,1.886345744,2.54543972
2018,BRA,execution,2.215892792,0.257458627,1.886345744,2.54543972
2017,BRA,exkill,2.215892792,0.257458627,1.886345744,2.54543972
2018,BRA,exkill,2.215892792,0.257458627,1.886345744,2.54543972
2017,BRA,express,4.763403416,0.543976545,4.0671134,5.459693432
2018,BRA,express,5.046267033,0.577096999,4.307582855,5.78495121
2017,BRA,physint,4.236330032,0.86465621,3.129570007,5.343090057
