metric_code,natural_minimum,global_best_all,global_best_female,global_best_male,standard
NetSecEnrol,0,100,100,100,Both
AdjNetPrim,0,100,100,100,Core
PISAscience,0,87,87,87,HiY
PISAmath,0,83,83,83,HiY
PISAreading,0,85,85,85,HiY
NotStunted,31,97.7,97.7,97.7,Core
FoodSecure,6,99,99,99,HiY
SurvivalTo65,16,93,96,91,Both
U5Survival,68,100,100,100,Both
Contraception,0,85,85,85,Core
NotLowBirWt,40,97,97,97,HiY
WaterInHome,0,100,100,100,Core
BasicSanitation,0,100,100,100,Core
SafeSanitation,0,100,100,100,HiY
AffordableHousing,50,100,100,100,HiY
NotRelPoor,70,97,97,97,HiY
NotAbsPoor,0,100,100,100,Core
NotLTUnemployed,0,100,100,100,HiY
