country_code,year,metric_code,group,standard,score_wrt_immediate_duty,score_wrt_global_best,average_immediate_duty_wrt_global_best
ABW,2007,Education,All,Core,85.82538354,85.82538354,100
ABW,2007,Education,Female,Core,81.12396756,81.12396756,100
ABW,2007,Education,Male,Core,85.58462338,85.58462338,100
ABW,2007,Housing,All,Core,90.77434459,90.77434459,100
ABW,2008,Education,All,Core,82.93693559,82.93693559,100
ABW,2008,Education,Female,Core,78.90977188,78.90977188,100
ABW,2008,Education,Male,Core,81.07036266,81.07036266,100
ABW,2008,Housing,All,Core,91.01781793,91.01781793,100
ABW,2009,Education,All,Core,78.37313102,78.37313102,100
ABW,2009,Education,Female,Core,84.09444535,84.09444535,100
ABW,2009,Education,Male,Core,73.08926718,73.08926718,100
ABW,2009,Housing,All,Core,91.70530987,91.70530987,100
ABW,2010,Education,All,Core,85.20722253,85.20722253,100
ABW,2010,Education,Female,Core,84.09444535,84.09444535,100
ABW,2010,Education,Male,Core,73.08926718,73.08926718,100
ABW,2010,Housing,All,Core,92.08138525,92.08138525,100
ABW,2011,Education,All,Core,84.83853791,84.83853791,100
ABW,2011,Education,Female,Core,83.98144247,83.98144247,100
ABW,2011,Education,Male,Core,72.49494524,72.49494524,100
ABW,2011,Housing,All,Core,92.19206108,92.19206108,100
ABW,2012,Education,All,Core,84.83853791,84.83853791,100
ABW,2012,Education,Female,Core,83.98144247,83.98144247,100
ABW,2012,Education,Male,Core,72.49494524,72.49494524,100
ABW,2012,Housing,All,Core,92.48633642,92.48633642,100
ABW,2013,Education,All,Core,84.83853791,84.83853791,100
ABW,2013,Education,Female,Core,83.98144247,83.98144247,100
ABW,2013,Education,Male,Core,72.49494524,72.49494524,100
ABW,2013,Housing,All,Core,92.35835977,92.35835977,100
ABW,2014,Education,All,Core,85.53407949,85.53407949,100
ABW,2014,Education,Female,Core,83.98144247,83.98144247,100
ABW,2014,Education,Male,Core,72.49494524,72.49494524,100
ABW,2014,Housing,All,Core,92.34920899,92.34920899,100
ABW,2015,Education,All,Core,85.53407949,85.53407949,100
ABW,2015,Education,Female,Core,83.98144247,83.98144247,100
ABW,2015,Education,Male,Core,72.49494524,72.49494524,100
ABW,2015,Housing,All,Core,92.38558499,92.38558499,100
ABW,2016,Education,All,Core,85.53407949,85.53407949,100
ABW,2016,Education,Female,Core,83.98144247,83.98144247,100
ABW,2016,Education,Male,Core,72.49494524,72.49494524,100
ABW,2016,Housing,All,Core,92.41173122,92.41173122,100
ABW,2017,Education,All,Core,85.53407949,85.53407949,100
ABW,2017,Education,Female,Core,83.98144247,83.98144247,100
ABW,2017,Education,Male,Core,72.49494524,72.49494524,100
ABW,2017,Housing,All,Core,92.41173122,92.41173122,100
AFG,2007,Food,All,Core,25.21470362,14.54272864,57.67558824
AFG,2007,Food,Female,Core,27.29426681,15.74212894,57.67558824
AFG,2007,Food,Male,Core,23.39508583,13.49325337,57.67558824
AFG,2007,Health,All,Core,65.57717372,53.13363154,78.54478818
AFG,2007,Housing,All,Core,44.55787407,27.05148696,60.75214719
AFG,2008,Food,All,Core,25.21470362,14.54272864,57.67558824
AFG,2008,Food,Female,Core,27.29426681,15.74212894,57.67558824
AFG,2008,Food,Male,Core,23.39508583,13.49325337,57.67558824
AFG,2008,Health,All,Core,67.95967308,55.4420561,79.89078299
AFG,2008,Housing,All,Core,46.07857256,28.36036681,61.6294061
AFG,2009,Food,All,Core,25.21470362,14.54272864,57.67558824
AFG,2009,Food,Female,Core,27.29426681,15.74212894,57.67558824
AFG,2009,Food,Male,Core,23.39508583,13.49325337,57.67558824
AFG,2009,Health,All,Core,67.16105955,56.08258851,81.46669103
AFG,2009,Housing,All,Core,42.40373705,29.68496909,69.93192984
AFG,2010,Food,All,Core,25.21470362,14.54272864,57.67558824
AFG,2010,Food,Female,Core,27.29426681,15.74212894,57.67558824
AFG,2010,Food,Male,Core,23.39508583,13.49325337,57.67558824
AFG,2010,Health,All,Core,65.49237758,56.32054739,84.58724423
AFG,2010,Housing,All,Core,41.70822234,31.02551386,74.26981528
AFG,2011,Food,All,Core,25.21470362,14.54272864,57.67558824
AFG,2011,Food,Female,Core,27.29426681,15.74212894,57.67558824
AFG,2011,Food,Male,Core,23.39508583,13.49325337,57.67558824
AFG,2011,Health,All,Core,66.19496662,56.71534586,84.1775536
AFG,2011,Housing,All,Core,44.19288944,32.38254499,73.22082913
AFG,2012,Food,All,Core,25.21470362,14.54272864,57.67558824
AFG,2012,Food,Female,Core,27.29426681,15.74212894,57.67558824
AFG,2012,Food,Male,Core,23.39508583,13.49325337,57.67558824
AFG,2012,Health,All,Core,66.23798488,57.31423475,84.8427222
AFG,2012,Housing,All,Core,44.12604997,33.7560162,76.41975151
AFG,2013,Food,All,Core,54.36698744,42.12893553,77.48992084
AFG,2013,Food,Female,Core,27.29426681,15.74212894,57.67558824
AFG,2013,Food,Male,Core,23.39508583,13.49325337,57.67558824
AFG,2013,Health,All,Core,66.74331696,57.88566993,84.98710094
AFG,2013,Housing,All,Core,45.55040052,35.14616099,77.10091526
AFG,2014,Food,All,Core,54.36698744,42.12893553,77.48992084
AFG,2014,Food,Female,Core,27.29426681,15.74212894,57.67558824
AFG,2014,Food,Male,Core,23.39508583,13.49325337,57.67558824
AFG,2014,Health,All,Core,67.3986089,58.42585512,84.93808519
AFG,2014,Housing,All,Core,47.53830685,36.55323104,76.87017637
AFG,2015,Food,All,Core,54.36698744,42.12893553,77.48992084
AFG,2015,Health,All,Core,68.52370493,59.46542756,85.3891214
AFG,2015,Housing,All,Core,49.7898161,37.97781851,76.29649991
AFG,2016,Food,All,Core,54.36698744,42.12893553,77.48992084
AFG,2016,Health,All,Core,69.12748655,59.96394608,85.34843531
AFG,2016,Housing,All,Core,51.8343049,39.41983139,76.10348291
AFG,2017,Food,All,Core,54.36698744,42.12893553,77.48992084
AFG,2017,Health,All,Core,69.67353285,60.45204793,85.35459344
AFG,2017,Housing,All,Core,53.75877533,40.88427501,76.13272108
AFG,2015,Food,All,HiY,92.90986833,53.04347826,57.09132864
AFG,2016,Food,All,HiY,84.82771831,48.15217391,56.76466947
AFG,2017,Food,All,HiY,75.9531285,43.15217391,56.81421525
AGO,2007,Food,All,Core,62.36143339,59.67016492,95.68440247
AGO,2007,Food,Female,Core,67.21873037,64.31784051,95.68440247
AGO,2007,Food,Male,Core,57.34744641,54.87256143,95.68440247
AGO,2007,Health,All,Core,43.5768291,41.81334014,94.5713712
AGO,2007,Housing,All,Core,28.077888,27.82961026,99.34241267
AGO,2007,Work,All,Core,46.45079478,44.4,95.5850168
AGO,2008,Education,All,Core,32.43145888,32.08916338,96.52080415
AGO,2008,Education,Female,Core,28.39088113,28.07063911,96.52080415
AGO,2008,Education,Male,Core,36.81442838,36.44973277,96.52080415
AGO,2008,Food,All,Core,62.36143339,59.67016492,95.68440247
AGO,2008,Food,Female,Core,67.21873037,64.31784051,95.68440247
AGO,2008,Food,Male,Core,57.34744641,54.87256143,95.68440247
AGO,2008,Health,All,Core,44.91133488,43.20614107,94.72991727
AGO,2008,Housing,All,Core,28.93046432,28.7479065,99.53061072
AGO,2008,SER_Average,All,Core,41.96403727,40.97977415,97.29314692
AGO,2008,Work,All,Core,41.18549486,41.18549486,100
AGO,2009,Education,All,Core,32.38510148,32.01055729,96.39136442
AGO,2009,Education,Female,Core,28.13257791,27.78084585,96.39136442
AGO,2009,Education,Male,Core,37.0184605,36.62074867,96.39136442
AGO,2009,Food,All,Core,62.36143339,59.67016492,95.68440247
AGO,2009,Food,Female,Core,67.21873037,64.31784051,95.68440247
AGO,2009,Food,Male,Core,57.34744641,54.87256143,95.68440247
AGO,2009,Health,All,Core,51.06446206,49.0983061,95.79376125
AGO,2009,Housing,All,Core,30.65823935,30.43872902,99.45440623
AGO,2009,SER_Average,All,Core,43.53094623,42.48065044,97.46478688
AGO,2009,Work,All,Core,41.18549486,41.18549486,100
AGO,2010,Education,All,Core,34.06641429,33.63372944,96.44056839
AGO,2010,Education,Female,Core,28.14760641,27.7614814,96.44056839
AGO,2010,Education,Male,Core,40.64842384,40.16846519,96.44056839
AGO,2010,Food,All,Core,62.36143339,59.67016492,95.68440247
AGO,2010,Food,Female,Core,67.21873037,64.31784051,95.68440247
AGO,2010,Food,Male,Core,57.34744641,54.87256143,95.68440247
AGO,2010,Health,All,Core,52.3895308,50.39738017,95.81824382
AGO,2010,Housing,All,Core,32.03844686,31.82411569,99.48340808
AGO,2010,SER_Average,All,Core,44.40826404,43.34217702,97.48532455
AGO,2010,Work,All,Core,41.18549486,41.18549486,100
AGO,2011,Education,All,Core,35.82898845,35.3963036,96.44056839
AGO,2011,Education,Female,Core,27.2438259,26.85770089,96.44056839
AGO,2011,Education,Male,Core,45.8354785,45.35551986,96.44056839
AGO,2011,Food,All,Core,62.36143339,59.67016492,95.68440247
AGO,2011,Food,Female,Core,67.21873037,64.31784051,95.68440247
AGO,2011,Food,Male,Core,57.34744641,54.87256143,95.68440247
AGO,2011,Health,All,Core,53.68158386,51.64434777,95.8132217
AGO,2011,Housing,All,Core,33.54993914,33.32643095,99.47746329
AGO,2011,SER_Average,All,Core,45.32148794,44.24454842,97.48313117
AGO,2011,Work,All,Core,41.18549486,41.18549486,100
AGO,2012,Education,All,Core,35.82898845,35.3963036,96.44056839
AGO,2012,Education,Female,Core,27.2438259,26.85770089,96.44056839
AGO,2012,Education,Male,Core,45.8354785,45.35551986,96.44056839
AGO,2012,Food,All,Core,62.36143339,59.67016492,95.68440247
AGO,2012,Food,Female,Core,67.21873037,64.31784051,95.68440247
AGO,2012,Food,Male,Core,57.34744641,54.87256143,95.68440247
AGO,2012,Health,All,Core,54.85110537,52.84964869,95.91551786
AGO,2012,Housing,All,Core,34.59462087,34.41801216,99.59811139
AGO,2012,SER_Average,All,Core,45.76432859,44.70392485,97.52772002
AGO,2012,Work,All,Core,41.18549486,41.18549486,100
AGO,2013,Education,All,Core,35.82898845,35.3963036,96.44056839
AGO,2013,Education,Female,Core,27.2438259,26.85770089,96.44056839
AGO,2013,Education,Male,Core,45.8354785,45.35551986,96.44056839
AGO,2013,Food,All,Core,62.36143339,59.67016492,95.68440247
AGO,2013,Food,Female,Core,67.21873037,64.31784051,95.68440247
