country_code,year,metric_code,mean,low,high,sd
AFG,1990,ddi,0.04,0.021,0.056,0.019
AFG,1990,edi,0.092,0.081,0.1,0.01
AFG,1990,egdi,0.095,0.074,0.12,0.023
AFG,1990,ldi,0.046,0.029,0.056,0.014
AFG,1990,pdi,0.027,0.012,0.035,0.013
AFG,1991,ddi,0.04,0.018,0.052,0.02
AFG,1991,edi,0.093,0.082,0.102,0.01
AFG,1991,egdi,0.094,0.069,0.115,0.023
AFG,1991,ldi,0.042,0.026,0.053,0.014
AFG,1991,pdi,0.027,0.014,0.038,0.013
AFG,1992,ddi,0.037,0.016,0.049,0.019
AFG,1992,edi,0.091,0.08,0.099,0.01
AFG,1992,egdi,0.073,0.051,0.095,0.022
AFG,1992,ldi,0.032,0.019,0.041,0.012
AFG,1992,pdi,0.029,0.015,0.039,0.013
AFG,1993,ddi,0.03,0.013,0.041,0.017
AFG,1993,edi,0.092,0.081,0.1,0.01
AFG,1993,egdi,0.044,0.028,0.061,0.017
AFG,1993,ldi,0.024,0.014,0.033,0.01
AFG,1993,pdi,0.03,0.015,0.038,0.013
AFG,1994,ddi,0.03,0.013,0.041,0.017
AFG,1994,edi,0.092,0.081,0.1,0.01
AFG,1994,egdi,0.044,0.028,0.061,0.017
AFG,1994,ldi,0.024,0.013,0.031,0.01
AFG,1994,pdi,0.03,0.015,0.038,0.013
AFG,1995,ddi,0.03,0.013,0.041,0.017
AFG,1995,edi,0.092,0.081,0.1,0.01
AFG,1995,egdi,0.041,0.024,0.054,0.016
AFG,1995,ldi,0.023,0.012,0.03,0.01
AFG,1995,pdi,0.025,0.011,0.032,0.012
AFG,1996,ddi,0.019,0.009,0.026,0.011
AFG,1996,edi,0.083,0.074,0.089,0.008
AFG,1996,egdi,0.038,0.021,0.051,0.016
AFG,1996,ldi,0.022,0.012,0.029,0.01
AFG,1996,pdi,0.019,0.009,0.025,0.009
AFG,1997,ddi,0.008,0.004,0.01,0.005
AFG,1997,edi,0.072,0.067,0.075,0.004
AFG,1997,egdi,0.038,0.02,0.052,0.016
AFG,1997,ldi,0.026,0.014,0.036,0.011
AFG,1997,pdi,0.013,0.007,0.017,0.007
AFG,1998,ddi,0.008,0.004,0.01,0.005
AFG,1998,edi,0.072,0.067,0.075,0.004
AFG,1998,egdi,0.038,0.02,0.052,0.016
AFG,1998,ldi,0.026,0.014,0.036,0.011
AFG,1998,pdi,0.013,0.007,0.017,0.007
AFG,1999,ddi,0.008,0.004,0.01,0.005
AFG,1999,edi,0.072,0.067,0.075,0.004
AFG,1999,egdi,0.038,0.02,0.052,0.016
AFG,1999,ldi,0.026,0.014,0.036,0.011
AFG,1999,pdi,0.013,0.007,0.017,0.007
AFG,2000,ddi,0.008,0.004,0.01,0.005
AFG,2000,edi,0.072,0.067,0.075,0.004
AFG,2000,egdi,0.038,0.018,0.049,0.016
AFG,2000,ldi,0.026,0.014,0.036,0.011
AFG,2000,pdi,0.013,0.007,0.017,0.007
AFG,2001,ddi,0.013,0.006,0.018,0.008
AFG,2001,edi,0.079,0.072,0.085,0.007
AFG,2001,egdi,0.04,0.02,0.051,0.017
AFG,2001,ldi,0.03,0.018,0.04,0.012
