country_code,year,metric_code,mean,low,high,sd
AFG,1990,ddi,0.129,0.064,0.204,0.636
AFG,1990,edi,0.092,0.081,0.1,0.01
AFG,1990,egdi,0.343,0.268,0.442,0.087
AFG,1990,ldi,0.152,0.087,0.191,0.055
AFG,1990,pdi,0.08,0.023,0.11,0.05
AFG,1991,ddi,0.129,0.064,0.204,0.636
AFG,1991,edi,0.093,0.082,0.102,0.01
AFG,1991,egdi,0.338,0.24,0.416,0.088
AFG,1991,ldi,0.136,0.079,0.18,0.055
AFG,1991,pdi,0.08,0.023,0.11,0.05
AFG,1992,ddi,0.116,0.062,0.196,0.636
AFG,1992,edi,0.091,0.08,0.099,0.01
AFG,1992,egdi,0.227,0.134,0.299,0.082
AFG,1992,ldi,0.1,0.052,0.136,0.046
AFG,1992,pdi,0.092,0.034,0.124,0.05
AFG,1993,ddi,0.091,0.048,0.171,0.64
AFG,1993,edi,0.092,0.081,0.1,0.01
AFG,1993,egdi,0.147,0.073,0.195,0.066
AFG,1993,ldi,0.07,0.03,0.098,0.037
AFG,1993,pdi,0.092,0.034,0.124,0.05
AFG,1994,ddi,0.091,0.048,0.171,0.64
AFG,1994,edi,0.092,0.081,0.1,0.01
AFG,1994,egdi,0.147,0.073,0.195,0.066
AFG,1994,ldi,0.07,0.029,0.096,0.037
AFG,1994,pdi,0.092,0.034,0.124,0.05
AFG,1995,ddi,0.091,0.048,0.171,0.64
AFG,1995,edi,0.092,0.081,0.1,0.01
AFG,1995,egdi,0.134,0.068,0.183,0.063
AFG,1995,ldi,0.067,0.024,0.09,0.037
AFG,1995,pdi,0.073,0.028,0.108,0.045
AFG,1996,ddi,0.018,0.008,0.049,0.648
AFG,1996,edi,0.083,0.074,0.089,0.008
AFG,1996,egdi,0.125,0.059,0.17,0.059
AFG,1996,ldi,0.064,0.026,0.093,0.038
AFG,1996,pdi,0.036,0.011,0.051,0.027
AFG,1997,ddi,0.014,0.005,0.035,0.649
AFG,1997,edi,0.072,0.067,0.075,0.004
AFG,1997,egdi,0.134,0.064,0.186,0.064
AFG,1997,ldi,0.087,0.041,0.123,0.044
AFG,1997,pdi,0.036,0.011,0.051,0.027
AFG,1998,ddi,0.014,0.005,0.035,0.649
AFG,1998,edi,0.072,0.067,0.075,0.004
AFG,1998,egdi,0.134,0.064,0.186,0.064
AFG,1998,ldi,0.087,0.041,0.123,0.044
AFG,1998,pdi,0.036,0.011,0.051,0.027
AFG,1999,ddi,0.014,0.005,0.035,0.649
AFG,1999,edi,0.072,0.067,0.075,0.004
AFG,1999,egdi,0.134,0.064,0.186,0.064
AFG,1999,ldi,0.087,0.041,0.123,0.044
